lemma,doc_freq,multiplier
output,0.37777777777777777,1.0
american,0.37777777777777777,1.0
kansas,0.37777777777777777,1.0
jackson,0.37777777777777777,1.0
position,0.37777777777777777,1.0
dynamic,0.37777777777777777,1.0
neutral,0.37777777777777777,1.0
projection,0.37777777777777777,1.0
hole,0.37777777777777777,1.0
housing,0.37777777777777777,1.0
concern,0.37777777777777777,1.0
key,0.37777777777777777,1.0
powell,0.37777777777777777,1.0
sharp,0.37777777777777777,1.0
currently,0.37777777777777777,1.0
pp,0.37777777777777777,1.0
government,0.37777777777777777,1.0
community,0.37777777777777777,1.0
americans,0.37777777777777777,1.0
category,0.37777777777777777,1.0
peak,0.37777777777777777,1.0
speak,0.37777777777777777,1.0
macroeconomic,0.37777777777777777,1.0
solid,0.37777777777777777,1.0
value,0.37777777777777777,1.0
normal,0.37777777777777777,1.0
group,0.37777777777777777,1.0
control,0.37777777777777777,1.0
institution,0.37777777777777777,1.0
bind,0.35555555555555557,1.0
downturn,0.35555555555555557,1.0
seek,0.35555555555555557,1.0
gradual,0.35555555555555557,1.0
staff,0.35555555555555557,1.0
build,0.35555555555555557,1.0
environment,0.35555555555555557,1.0
bureau,0.35555555555555557,1.0
prime,0.35555555555555557,1.0
symposium,0.35555555555555557,1.0
restore,0.35555555555555557,1.0
aim,0.35555555555555557,1.0
analysis,0.35555555555555557,1.0
international,0.35555555555555557,1.0
relative,0.35555555555555557,1.0
pay,0.35555555555555557,1.0
employer,0.35555555555555557,1.0
welcome,0.35555555555555557,1.0
nearly,0.35555555555555557,1.0
source,0.35555555555555557,1.0
later,0.35555555555555557,1.0
inflationary,0.35555555555555557,1.0
forecast,0.35555555555555557,1.0
ask,0.35555555555555557,1.0
history,0.35555555555555557,1.0
commitment,0.35555555555555557,1.0
depend,0.35555555555555557,1.0
november,0.35555555555555557,1.0
similar,0.35555555555555557,1.0
lesson,0.35555555555555557,1.0
gross,0.35555555555555557,1.0
private,0.35555555555555557,1.0
relatively,0.3333333333333333,1.0
adjustment,0.3333333333333333,1.0
main,0.3333333333333333,1.0
area,0.3333333333333333,1.0
tell,0.3333333333333333,1.0
deal,0.3333333333333333,1.0
wyo,0.3333333333333333,1.0
closely,0.3333333333333333,1.0
detail,0.3333333333333333,1.0
small,0.3333333333333333,1.0
michael,0.3333333333333333,1.0
instead,0.3333333333333333,1.0
form,0.3333333333333333,1.0
respond,0.3333333333333333,1.0
occur,0.3333333333333333,1.0
upward,0.3333333333333333,1.0
persistently,0.3333333333333333,1.0
account,0.3333333333333333,1.0
size,0.3333333333333333,1.0
forecaster,0.3333333333333333,1.0
argue,0.3333333333333333,1.0
confident,0.3333333333333333,1.0
robust,0.3333333333333333,1.0
era,0.3333333333333333,1.0
brookings,0.3333333333333333,1.0
money,0.3333333333333333,1.0
say,0.3333333333333333,1.0
associate,0.3333333333333333,1.0
topic,0.3333333333333333,1.0
cause,0.3333333333333333,1.0
push,0.3333333333333333,1.0
prove,0.3333333333333333,1.0
have,0.3333333333333333,1.0
place,0.3333333333333333,1.0
sustainable,0.3333333333333333,1.0
tend,0.3333333333333333,1.0
ability,0.3333333333333333,1.0
call,0.3333333333333333,1.0
nber,0.3333333333333333,1.0
signal,0.3111111111111111,1.0
perspective,0.3111111111111111,1.0
sustainably,0.3111111111111111,1.0
healthy,0.3111111111111111,1.0
immigration,0.3111111111111111,1.0
perform,0.3111111111111111,1.0
j.,0.3111111111111111,1.0
improvement,0.3111111111111111,1.0
security,0.3111111111111111,1.0
accompany,0.3111111111111111,1.0
david,0.3111111111111111,1.0
importance,0.3111111111111111,1.0
assign,0.3111111111111111,1.0
refer,0.3111111111111111,1.0
york,0.3111111111111111,1.0
highlight,0.3111111111111111,1.0
d.,0.3111111111111111,1.0
gradually,0.3111111111111111,1.0
credit,0.3111111111111111,1.0
median,0.3111111111111111,1.0
extended,0.3111111111111111,1.0
anticipate,0.3111111111111111,1.0
curve,0.3111111111111111,1.0
expand,0.3111111111111111,1.0
problem,0.3111111111111111,1.0
context,0.3111111111111111,1.0
bernanke,0.3111111111111111,1.0
manage,0.3111111111111111,1.0
plan,0.3111111111111111,1.0
age,0.3111111111111111,1.0
john,0.3111111111111111,1.0
evolution,0.3111111111111111,1.0
want,0.3111111111111111,1.0
pass,0.3111111111111111,1.0
adjust,0.3111111111111111,1.0
extent,0.3111111111111111,1.0
lag,0.3111111111111111,1.0
record,0.3111111111111111,1.0
foster,0.3111111111111111,1.0
avoid,0.3111111111111111,1.0
largely,0.3111111111111111,1.0
aggregate,0.3111111111111111,1.0
post,0.3111111111111111,1.0
shortfall,0.3111111111111111,1.0
tightening,0.3111111111111111,1.0
right,0.3111111111111111,1.0
ensure,0.3111111111111111,1.0
sense,0.3111111111111111,1.0
previous,0.28888888888888886,1.0
drop,0.28888888888888886,1.0
offer,0.28888888888888886,1.0
boom,0.28888888888888886,1.0
obligation,0.28888888888888886,1.0
exclude,0.28888888888888886,1.0
sign,0.28888888888888886,1.0
holding,0.28888888888888886,1.0
capital,0.28888888888888886,1.0
center,0.28888888888888886,1.0
workforce,0.28888888888888886,1.0
management,0.28888888888888886,1.0
goals,0.28888888888888886,1.0
emphasize,0.28888888888888886,1.0
unprecedented,0.28888888888888886,1.0
line,0.28888888888888886,1.0
payroll,0.28888888888888886,1.0
reading,0.28888888888888886,1.0
widely,0.28888888888888886,1.0
