filename,date,title,n_lemmas_total,hawk_density,dove_density,net_score,hawk_z,dove_z,net_z,hawkishness,label,rank
20160606_yellen_Current_Conditions_and_the_Outlook_for_the_US_Economy.txt,2016-06-06,Current Conditions and the Outlook for the U.S. Economy,2664,0.016516516516516516,0.036036036036036036,-0.01951951951951952,0.3130306028551398,1.21264053460003,-1.0639827867152696,-0.6545309061533866,Dovish,6
20160826_yellen_The_Federal_Reserves_Monetary_Policy_Toolkit_Past_Present_an.txt,2016-08-26,"The Federal Reserve's Monetary Policy Toolkit: Past, Present, and Future",3484,0.012055109070034443,0.022962112514351322,-0.010907003444316879,-0.7417837539049829,-0.33704747307322785,-0.03511313859521587,-0.14661647314232362,Neutral,11
20161014_yellen_Macroeconomic_Research_After_the_Crisis.txt,2016-10-14,Macroeconomic Research After the Crisis,3404,0.01410105757931845,0.012925969447708578,0.0011750881316098718,-0.25805840788520795,-1.5266590328986305,1.4082394426637441,0.8922800225590555,Hawkish,21
20170118_yellen_The_Goals_of_Monetary_Policy_and_How_We_Pursue_Them.txt,2017-01-18,The Goals of Monetary Policy and How We Pursue Them,1428,0.00980392156862745,0.02661064425770308,-0.01680672268907563,-1.2740339293771787,0.09542299984252897,-0.7399062571635576,-0.7031210621277552,Dovish,3
20170119_yellen_The_Economic_Outlook_and_the_Conduct_of_Monetary_Policy.txt,2017-01-19,The Economic Outlook and the Conduct of Monetary Policy,3474,0.013529073114565342,0.021301093839953943,-0.007772020725388601,-0.39329318132897345,-0.5339325715645531,0.33939862297618933,0.16001267107058967,Hawkish,15
20170303_yellen_From_Adding_Accommodation_to_Scaling_It_Back.txt,2017-03-03,From Adding Accommodation to Scaling It Back,2347,0.014912654452492544,0.03365999147848317,-0.018747337025990626,-0.06617186894093313,0.9310014573613017,-0.9717362093545595,-0.6563031785522648,Dovish,5
20170825_yellen_Financial_Stability_a_Decade_after_the_Onset_of_the_Crisis.txt,2017-08-25,Financial Stability a Decade after the Onset of the Crisis,3902,0.013326499231163505,0.01204510507432086,0.0012813941568426447,-0.44118789685992077,-1.6310703026725002,1.4209389885129762,0.8702737981085186,Hawkish,20
20170926_yellen_Inflation_Uncertainty_and_Monetary_Policy.txt,2017-09-26,"Inflation, Uncertainty, and Monetary Policy",4524,0.010389036251105217,0.01834659593280283,-0.007957559681697611,-1.1356947673902242,-0.884137310624999,0.31723374118980363,0.0218920948081928,Neutral,13
20171015_yellen_The_US_Economy_and_Monetary_Policy.txt,2017-10-15,The U.S. Economy and Monetary Policy,892,0.0257847533632287,0.03139013452914798,-0.005605381165919281,2.5043277226629272,0.6619490885231162,0.5982300331807545,0.8135362224401885,Hawkish,18
20171020_yellen_A_Challenging_Decade_and_a_Question_for_the_Future.txt,2017-10-20,A Challenging Decade and a Question for the Future,2384,0.016778523489932886,0.03649328859060403,-0.019714765100671144,0.3749771344028869,1.2668399338176164,-1.0873072427304926,-0.6597233473817407,Dovish,4
